 * Serving Flask app 'app'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 324-736-023
127.0.0.1 - - [20/May/2026 10:53:52] "[31m[1mGET /api/admin/health HTTP/1.1[0m" 401 -
127.0.0.1 - - [20/May/2026 10:54:07] "POST /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:07] "POST /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:07] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:07] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:07] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:07] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:08] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:09] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:09] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:09] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:09] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:09] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:11] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:11] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:11] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:11] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:11] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:12] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:12] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:12] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:12] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:12] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:13] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:13] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:13] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:13] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:13] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:14] "[31m[1mPOST /api/results HTTP/1.1[0m" 400 -
127.0.0.1 - - [20/May/2026 10:54:14] "POST /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:14] "GET /api/subscriptions HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:17] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:17] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:17] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:17] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:17] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:19] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:19] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:19] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:19] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:19] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:20] "[31m[1mPOST /api/results HTTP/1.1[0m" 400 -
127.0.0.1 - - [20/May/2026 10:54:20] "POST /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:20] "GET /api/subscriptions HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:21] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:21] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:22] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:22] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:22] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:23] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:23] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:23] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:23] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:23] "[31m[1mPOST /api/results HTTP/1.1[0m" 400 -
127.0.0.1 - - [20/May/2026 10:54:23] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:23] "POST /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:23] "GET /api/subscriptions HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:24] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:24] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:24] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:24] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:54:24] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:04] "POST /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:04] "POST /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:04] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:04] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:04] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:04] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:05] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:07] "GET /api/managers HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:07] "GET /api/payment-history HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:07] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:10] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:10] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:10] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:10] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:10] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:13] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:13] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:13] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:13] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:13] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:15] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:15] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:15] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:15] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:15] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:16] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:16] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:16] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:16] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:17] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:18] "GET /api/managers HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:18] "GET /api/payment-history HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:18] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:19] "[31m[1mPOST /api/results HTTP/1.1[0m" 400 -
127.0.0.1 - - [20/May/2026 10:55:19] "POST /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:19] "GET /api/subscriptions HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:20] "GET /api/managers HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:20] "GET /api/payment-history HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:20] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:20] "[31m[1mPOST /api/results HTTP/1.1[0m" 400 -
127.0.0.1 - - [20/May/2026 10:55:20] "POST /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:20] "GET /api/subscriptions HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:21] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:21] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:21] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:21] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:22] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:23] "GET /api/managers HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:23] "GET /api/payment-history HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:23] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:25] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:25] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:25] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:25] "GET /api/results HTTP/1.1" 200 -
